Deal Name,Company Name,Amount,Deal Stage
TechCorp Enterprise Plan,TechCorp Solutions,500000,Proposal Sent
TechCorp Growth Plan,TechCorp Solutions,250000,Qualified
DataNova CRM Implementation,DataNova Systems,350000,Demo Scheduled
DataNova Enterprise Package,DataNova Systems,600000,Negotiation
BrightEdge SaaS Package,BrightEdge Labs,200000,Contacted
BrightEdge Enterprise,BrightEdge Labs,450000,Qualified
CloudSphere Enterprise,CloudSphere,750000,Negotiation
CloudSphere Growth Plan,CloudSphere,300000,Demo Scheduled
Finova CRM Package,Finova Technologies,400000,Proposal Sent
Finova Enterprise Solution,Finova Technologies,800000,Closed Won
